Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Mean reduction of referenced functions,Mean reduction of referenced functions if improved,Largest reduction,Callrefs found by purity,Callrefs found by api,Date
Yes,safeds,178.8311870098114,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-01-17 23:14:30.850001
Yes,safeds,22.26926898956299,77,415,492,77,372,0,43,0.6416666666666667,1.0,0.9126016260162602,0.8208333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-01-17 23:34:20.089912
No,safeds,22.136598587036133,77,415,492,77,372,0,43,0.6416666666666667,1.0,0.9126016260162602,0.8208333333333333,547,0,0,0,547,0,0,0,0,0,0,1710,1780,2025-01-18 08:15:54.711241
Yes,safeds,258.4095370769501,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,235,2,216,93,0,1,0,2.9122486288848264,6.778723404255319,44,1710,1780,2025-01-20 23:07:43.426386
Yes,safeds,205.32005786895752,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,235,2,216,93,0,1,0,2.9122486288848264,6.778723404255319,44,1710,1780,2025-01-20 23:21:24.232973
Yes,safeds,183.93798971176147,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-01-20 23:48:08.236188
Yes,safeds,219.7291224002838,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-01-22 22:43:05.416206
Yes,safeds,182.1621232032776,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-01-23 02:06:49.291323
Yes,safeds,206.8981990814209,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-02-08 13:24:31.767540
Yes,safeds,235.64530849456787,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,2.2321755027422303,7.311377245508982,41,1710,1780,2025-02-09 01:16:24.876204
