Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Mean reduction of referenced functions,Mean reduction of referenced functions if improved,Largest reduction,Callrefs found by purity,Callrefs found by api,Date
No,matplotlib,5884.853365898132,554,7550,8104,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,26395,0,0,0,26395,0,0,0,0,0,0,48243,47026,2025-01-18 09:57:26.157083
Yes,matplotlib,550.4561913013458,579,7471,8050,17,175,4,4,0.8095238095238095,0.8095238095238095,0.96,0.8935887204043629,26395,2196,120,4363,17381,0,1196,1139,5.49475279408979,66.04462659380692,404,48243,47026,2025-01-18 21:59:50.976434
No,matplotlib,11815.476036310196,566,7538,8104,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,26395,0,0,0,26395,0,0,0,0,0,0,48243,47483,2025-02-11 03:08:25.262739
Yes,matplotlib,530.1002342700958,611,7440,8051,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,26395,4226,175,5840,13940,0,1075,1139,5.352491002083728,33.43090392806436,404,48243,47483,2025-02-11 08:48:10.661858
Yes,matplotlib,735.833984375,543,4847,5390,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,13294,1814,107,4334,6009,0,326,704,8.054836768466977,59.0303197353914,390,25916,26258,2025-03-01 15:02:47.073145
Yes,matplotlib,706.9755592346191,543,4847,5390,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,13294,1806,107,4339,6012,0,326,704,8.073040469384685,59.425802879291254,390,25916,26258,2025-03-01 15:28:40.347416
No,matplotlib,1307.080635547638,504,4944,5448,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,0,0,0,13294,0,0,0,0,0,0,25916,26258,2025-03-01 16:32:45.865927
Yes,matplotlib,1234.1749048233032,545,4855,5400,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,13294,1817,107,4329,6011,0,326,704,8.057619978937867,58.95321959273528,390,25916,26258,2025-03-01 17:00:44.154782
Yes,matplotlib,1274.4319906234741,506,4934,5440,17,175,3,4,0.8095238095238095,0.85,0.964824120603015,0.8963349384697699,13294,1814,107,4333,6010,0,326,704,8.054911990371597,59.03087100330761,390,25916,26258,2025-03-01 20:33:38.734510
Yes,matplotlib,1266.9561095237732,506,4934,5440,17,175,3,4,0.8095238095238095,0.85,0.964824120603015,0.8963349384697699,13294,1816,107,4326,6015,0,326,704,8.059199638934858,58.99724669603524,390,25916,26258,2025-03-03 00:38:28.512511
Yes,matplotlib,1391.9824557304382,532,4868,5400,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,13294,1817,107,4329,6011,0,326,704,8.057619978937867,58.95321959273528,390,25916,26258,2025-02-28 21:37:38.205605
No,matplotlib,1560.5804884433746,1021,9154,10175,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,0,0,0,13294,0,0,0,0,0,0,25916,26258,2025-02-28 21:49:43.239896
No,matplotlib,1828.6312866210938,1021,9154,10175,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,0,0,0,13294,0,0,0,0,0,0,25916,26258,2025-03-01 01:55:17.760559
Yes,matplotlib,1191.9703133106232,1054,8932,9986,17,174,5,4,0.8095238095238095,0.7727272727272727,0.955,0.8907954243149774,13294,1814,107,4334,6009,0,326,704,8.054535880848503,59.02811466372657,390,25916,26258,2025-03-01 16:48:35.110982
Yes,matplotlib,1243.8302805423737,1033,9128,10161,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,1814,107,4334,6009,0,326,704,8.057168647510155,59.04740904079382,390,25916,26258,2025-03-01 23:13:23.594564
No,matplotlib,1441.2593030929565,493,4955,5448,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,0,0,0,13294,0,0,0,0,0,0,25916,26258,2025-03-02 20:17:25.995526
No,matplotlib,1381.0935578346252,493,4955,5448,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,0,0,0,13294,0,0,0,0,0,0,25916,26258,2025-03-08 13:20:25.356753
Yes,matplotlib,1157.4999125003815,495,4945,5440,17,176,3,4,0.8095238095238095,0.85,0.965,0.8963820164937484,13294,1809,107,4334,6014,0,326,704,8.060929742741086,59.23825317855169,390,25916,26258,2025-03-09 00:05:47.985211
