Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Mean reduction of referenced functions,Mean reduction of referenced functions if improved,Largest reduction,Callrefs found by purity,Callrefs found by api,Date
No,seaborn,178.64700484275818,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-11 09:24:42.480444
Yes,seaborn,177.2378659248352,107,723,830,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-02-20 09:26:28.262468
No,seaborn,263.0281846523285,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-20 10:50:48.791973
No,seaborn,183.56683135032654,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-20 11:20:45.006841
Yes,seaborn,203.43895363807678,107,723,830,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-02-21 11:54:31.055968
No,seaborn,174.66488933563232,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-21 12:10:17.793613
No,seaborn,177.4864890575409,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-21 12:39:31.418186
Yes,seaborn,153.599112033844,107,723,830,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-02-21 12:47:39.788843
No,seaborn,936.0257823467255,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-21 16:50:31.337682
No,seaborn,164.07372641563416,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-21 16:59:34.451759
No,seaborn,165.55457949638367,106,704,810,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-02-21 17:23:25.997857
Yes,seaborn,179.59713459014893,107,723,830,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-01 16:02:35.985275
Yes,seaborn,180.7009687423706,107,725,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-03 11:16:04.814600
Yes,seaborn,292.98904633522034,214,1252,1466,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-01 07:49:50.874614
No,seaborn,171.2740979194641,213,1256,1469,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-03-01 10:04:14.568184
No,seaborn,132.4693820476532,213,1256,1469,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-03-01 15:02:33.030049
Yes,seaborn,186.75191617012024,214,1255,1469,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-02 05:38:54.871175
Yes,seaborn,61.656766414642334,111,721,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-02 11:55:59.730490
No,seaborn,65.70774817466736,110,722,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-03-02 12:01:56.119318
No,seaborn,204.0797233581543,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-03-03 06:14:09.361896
No,seaborn,126.7258095741272,106,726,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,0,0,0,1482,0,0,0,0,0,0,5569,6012,2025-03-08 22:01:03.803811
Yes,seaborn,109.66365766525269,107,725,832,17,176,4,3,0.85,0.8095238095238095,0.965,0.9138888888888889,1482,151,14,585,563,0,1,168,0.9082321187584346,8.913907284768213,30,5569,6012,2025-03-09 05:51:27.903922
