Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,No Data CallRef,Call refs func outside of package,No Method CallRef,Api Analyzer bug,Callrefs found by purity,Callrefs found by api,Date
Yes,safeds,192.29668354988098,119,447,566,0,0,0,0,0,0,0,0,547,141,0,88,302,0,16,0,1710,1538,2024-12-21 15:04:53.406766
Yes,safeds,217.02855348587036,119,447,566,0,0,0,0,0,0,0,0,547,141,0,88,302,0,16,0,1710,1538,2024-12-21 17:22:29.578880
Yes,safeds,187.77286863327026,119,447,566,0,0,0,0,0,0,0,0,547,141,0,89,304,0,13,0,1710,1544,2024-12-21 21:35:27.705573
Yes,safeds,197.10492873191833,119,447,566,0,0,0,0,0,0,0,0,547,141,0,89,304,0,13,0,1710,1544,2024-12-21 22:06:37.125666
Yes,safeds,355.84452390670776,119,447,566,0,0,0,0,0,0,0,0,547,143,0,89,304,0,11,0,1710,1546,2024-12-29 13:29:43.512932
Yes,safeds,188.80966639518738,119,447,566,0,0,0,0,0,0,0,0,547,146,0,95,305,0,1,0,1710,1601,2024-12-29 15:42:49.024280
Yes,safeds,186.3444893360138,119,447,566,0,0,0,0,0,0,0,0,547,146,0,95,305,0,1,0,1710,1601,2024-12-29 16:33:07.378174
Yes,safeds,172.59810757637024,119,447,566,0,0,0,0,0,0,0,0,547,146,0,95,305,0,1,0,1710,1601,2024-12-29 17:50:44.696330
Yes,safeds,188.37865543365479,119,447,566,0,0,0,0,0,0,0,0,547,151,0,95,300,0,1,0,1710,1601,2024-12-30 17:36:08.708165
Yes,safeds,176.78998446464539,119,447,566,0,0,0,0,0,0,0,0,547,117,0,130,299,0,1,0,1710,1601,2024-12-30 17:50:46.790827
Yes,safeds,171.989187002182,118,448,566,0,0,0,0,0,0,0,0,547,117,0,130,299,0,1,0,1710,1601,2024-12-30 18:00:28.341070
Yes,safeds,168.40594863891602,120,446,566,0,0,0,0,0,0,0,0,547,130,0,229,187,0,1,0,1710,1601,2024-12-30 18:25:31.631577
Yes,safeds,191.303560256958,120,446,566,0,0,0,0,0,0,0,0,547,132,0,229,185,0,1,0,1710,1601,2025-01-01 14:15:26.063667
Yes,safeds,165.2920858860016,120,446,566,0,0,0,0,0,0,0,0,547,132,0,229,185,0,1,0,1710,1601,2025-01-01 14:54:07.862455
Yes,safeds,174.4131796360016,120,446,566,0,0,0,0,0,0,0,0,547,132,0,229,185,0,1,0,1710,1601,2025-01-01 15:34:50.307095
Yes,safeds,175.35339093208313,120,446,566,0,0,0,0,0,0,0,0,547,132,0,229,185,0,1,0,1710,1601,2025-01-01 18:42:05.759082
